1	0.000000	100.64.0.2	100.64.0.1	0	0	0	46818,5201
2	0.000084	100.64.0.1	100.64.0.2	0	1	0	5201,46818
3	0.043350	100.64.0.2	100.64.0.1	1	1	0	46818,5201
4	0.043426	100.64.0.2	100.64.0.1	1	1	37	46818,5201
5	0.043448	100.64.0.1	100.64.0.2	1	38	0	5201,46818
6	0.043544	100.64.0.1	100.64.0.2	1	38	1	5201,46818
7	0.086802	100.64.0.2	100.64.0.1	38	2	0	46818,5201
8	0.086837	100.64.0.2	100.64.0.1	38	2	4	46818,5201
9	0.086853	100.64.0.1	100.64.0.2	2	42	0	5201,46818
10	0.130025	100.64.0.2	100.64.0.1	42	2	134	46818,5201
11	0.130066	100.64.0.1	100.64.0.2	2	176	0	5201,46818
12	0.130249	100.64.0.1	100.64.0.2	2	176	1	5201,46818
13	0.172449	100.64.0.2	100.64.0.1	176	3	0	46818,5201
14	0.173627	100.64.0.2	100.64.0.1	0	0	0	46820,5201
15	0.173674	100.64.0.1	100.64.0.2	0	1	0	5201,46820
16	0.216742	100.64.0.2	100.64.0.1	1	1	0	46820,5201
17	0.216808	100.64.0.2	100.64.0.1	1	1	37	46820,5201
18	0.216830	100.64.0.1	100.64.0.2	1	38	0	5201,46820
19	0.230940	100.64.0.1	100.64.0.2	3	176	1	5201,46818
20	0.231020	100.64.0.1	100.64.0.2	1	38	1448	5201,46820
21	0.231024	100.64.0.1	100.64.0.2	1449	38	1448	5201,46820
22	0.231052	100.64.0.1	100.64.0.2	2897	38	1448	5201,46820
23	0.231055	100.64.0.1	100.64.0.2	4345	38	1448	5201,46820
24	0.231069	100.64.0.1	100.64.0.2	5793	38	1448	5201,46820
25	0.231071	100.64.0.1	100.64.0.2	7241	38	1448	5201,46820
26	0.231082	100.64.0.1	100.64.0.2	8689	38	1448	5201,46820
27	0.231085	100.64.0.1	100.64.0.2	10137	38	1448	5201,46820
28	0.231098	100.64.0.1	100.64.0.2	11585	38	1448	5201,46820
29	0.231101	100.64.0.1	100.64.0.2	13033	38	1448	5201,46820
30	0.274807	100.64.0.2	100.64.0.1	176	4	0	46818,5201
31	0.274844	100.64.0.1	100.64.0.2	4	176	1	5201,46818
32	0.274870	100.64.0.2	100.64.0.1	38	1449	0	46820,5201
33	0.274895	100.64.0.1	100.64.0.2	14481	38	1448	5201,46820
34	0.274897	100.64.0.1	100.64.0.2	15929	38	1448	5201,46820
35	0.276049	100.64.0.2	100.64.0.1	38	2897	0	46820,5201
36	0.276089	100.64.0.2	100.64.0.1	38	4345	0	46820,5201
37	0.276441	100.64.0.1	100.64.0.2	17377	38	1448	5201,46820
38	0.276453	100.64.0.1	100.64.0.2	18825	38	1448	5201,46820
39	0.278194	100.64.0.2	100.64.0.1	38	5793	0	46820,5201
40	0.279362	100.64.0.2	100.64.0.1	38	7241	0	46820,5201
41	0.279432	100.64.0.1	100.64.0.2	20273	38	1448	5201,46820
42	0.279442	100.64.0.1	100.64.0.2	21721	38	1448	5201,46820
43	0.280533	100.64.0.2	100.64.0.1	38	8689	0	46820,5201
44	0.280564	100.64.0.2	100.64.0.1	38	10137	0	46820,5201
45	0.281739	100.64.0.2	100.64.0.1	38	11585	0	46820,5201
46	0.282479	100.64.0.1	100.64.0.2	23169	38	1448	5201,46820
47	0.282494	100.64.0.1	100.64.0.2	24617	38	1448	5201,46820
