time,min,max,mean,variance,lossCount,slope,intercept
0.05,N/A,N/A,N/A,N/A,0,N/A,N/A
0.1,0.040906,0.040906,0.040906,N/A,0,nan,nan
0.15,0.04093099999999997,0.04093099999999997,0.04093099999999997,N/A,0,nan,nan
0.2,0.04092299999999999,0.04092299999999999,0.04092299999999999,N/A,0,nan,nan
0.25,0.04091700000000001,0.04092399999999999,0.04092071428571428,5.904761904716883e-12,0,-0.37928843710089466,0.12140718360821007
0.3,0.03948099999999999,0.041520999999999975,0.040355210526315785,5.068920643274788e-07,0,0.008034718851288673,0.03815907617101372
0.35,0.039354,0.08368999999999999,0.04239708333333334,7.794460729710136e-05,0,0.35761708351707505,-0.07067541858719323
0.4,0.03938400000000003,0.042349000000000026,0.040566558823529414,6.147069206773712e-07,2,0.036310208802979665,0.026508832944729843
0.45,0.03937499999999999,0.07408199999999998,0.04210290909090909,5.156764846753242e-05,0,1.217247610556541,-0.4516726988603622
0.5,0.039632,0.04164699999999999,0.040801874999999994,3.832034126984152e-07,1,-0.007726923801886322,0.04452884405177881
0.55,0.04053499999999999,0.08232700000000004,0.04277208695652175,7.448997299209497e-05,1,2.67943458511971,-1.3041753685883888
0.6,0.03994399999999998,0.08139200000000002,0.043708133333333336,0.00010934810798095252,0,0.2663425771794347,-0.1126341604432633
0.65,0.06988899999999998,0.08316800000000002,0.0787173333333333,5.845593433333326e-05,4,13.758489519185723,-8.226714105165629
0.7,0.03987700000000005,0.0416669999999999,0.04096451648351648,1.6109980805859956e-07,0,-0.007932051679234095,0.04632232294810755
0.75,0.040522999999999976,0.040522999999999976,0.040522999999999976,N/A,0,nan,nan
0.8,0.03955999999999993,0.07966099999999998,0.041353975,1.913490113860758e-05,0,0.24276754658636968,-0.147447526437415
0.85,N/A,N/A,N/A,N/A,1,N/A,N/A
0.9,0.03967999999999994,0.07490200000000002,0.04153206382978724,2.512236680018505e-05,0,1.1222483615129797,-0.9457873981958738
0.95,N/A,N/A,N/A,N/A,1,N/A,N/A
1.0,0.04039999999999999,0.08008899999999997,0.05260176923076921,0.0003432792185256404,0,3.165291383908905,-3.0647826860987215
1.05,N/A,N/A,N/A,N/A,5,N/A,N/A
1.1,0.040065999999999935,0.041466,0.040680363636363605,1.962661471861661e-07,0,-0.02901903128774527,0.07230589750484291
