time,min,max,mean,variance,lossCount,slope,intercept
0.05,N/A,N/A,N/A,N/A,0,N/A,N/A
0.1,0.044433,0.044433,0.044433,N/A,0,nan,nan
0.15,0.04447999999999999,0.04447999999999999,0.04447999999999999,N/A,0,nan,nan
0.2,0.045576000000000005,0.045576000000000005,0.045576000000000005,N/A,0,nan,nan
0.25,0.047685000000000005,0.05321699999999999,0.05037800000000001,3.6189076666666444e-06,0,469.8586956525915,-103.36599077183104
0.3,0.043767,0.054257,0.048804461538461526,1.2428517602564064e-05,0,1.050778655311701,-0.23273712990938905
0.35,0.042686,0.06239,0.05208224324324324,2.8577712189189205e-05,0,0.864017098615655,-0.22378498905198668
0.4,0.042827000000000004,0.086534,0.06553966666666666,0.00016955275239855075,0,0.9110992706751213,-0.27494395986060527
0.45,0.084264,0.13781400000000005,0.10748920512820512,0.00019989320143789542,0,1.016436099738508,-0.3202845864063224
0.5,0.13645700000000005,0.28565399999999996,0.25557865384615386,0.003357574631435384,0,2.491042664953003,-0.9236065956999823
0.55,0.282114,0.285652,0.28342484615384617,6.996550153846164e-07,0,-0.03151041568833859,0.29998895545527265
0.6,0.28049499999999994,0.2846909999999999,0.282206,1.268483363636355e-06,1,0.03467547941137226,0.2622885614195799
0.65,N/A,N/A,N/A,N/A,25,N/A,N/A
0.7,N/A,N/A,N/A,N/A,28,N/A,N/A
0.75,0.14075500000000007,0.14101799999999998,0.14088650000000003,3.458449999997428e-08,88,-0.37199434229128514,0.4167469024044618
0.8,N/A,N/A,N/A,N/A,0,N/A,N/A
0.85,N/A,N/A,N/A,N/A,0,N/A,N/A
0.9,0.13420299999999996,0.14191999999999994,0.137755,6.179849333333346e-06,1,-0.518638575930504,0.600713649786982
0.95,0.11075000000000002,0.13422699999999999,0.12241519999999999,5.6782943166666335e-05,0,-0.5129954430874384,0.5965682902420931
1.0,0.08548100000000003,0.10824,0.09690072,5.096767812666662e-05,0,-0.48685535252893697,0.5713180867246688
1.05,0.06861299999999981,0.08396300000000001,0.07271441176470586,2.123923463235299e-05,0,-0.301583159957359,0.38291486701319943
1.1,0.06871699999999992,0.072052,0.07059007692307694,9.068723938461959e-07,0,-0.005629119433556599,0.07663569273847645
1.15,0.06819100000000011,0.07306100000000004,0.0712543076923077,1.2379204615384125e-06,0,0.03170250163662877,0.035585732870739704
1.2,0.06927100000000008,0.07302799999999987,0.07130654166666667,9.390370416666426e-07,0,0.035438785709871606,0.02967177451195966
1.25,0.07006599999999996,0.07536199999999993,0.07220230769230768,1.5489194215384687e-06,0,0.03996227980799384,0.02328878614648635
1.3,0.07076499999999997,0.0758319999999999,0.07231663999999999,1.1889934066666668e-06,0,0.024286444626213106,0.04135348162062479
1.35,0.07240599999999997,0.0750900000000001,0.0739337307692308,3.329242046154088e-07,0,0.007798612373886388,0.0636060622964622
1.4,0.07342399999999993,0.07703400000000005,0.07474969230769232,8.812790215384436e-07,0,0.02954188243936783,0.03410568639104814
1.45,0.07287699999999986,0.07708099999999996,0.07490420833333335,2.047166954710227e-06,0,-0.07507558496093304,0.1819229625678923
1.5,0.07264400000000015,0.07684400000000013,0.07519876923076924,1.4935469846154033e-06,0,0.05498665055426972,-0.005913265627115624
1.55,0.07514900000000013,0.07730300000000012,0.07625260000000003,4.1505250000000033e-07,0,-0.010848310064003216,0.09279957463925602
1.6,0.07545000000000002,0.07881000000000005,0.07737999999999999,7.287748800000399e-07,0,0.027220437553392186,0.03450827150696589
1.65,0.0747549999999999,0.07881000000000005,0.0771616,1.683832083333383e-06,0,0.04602579559886694,0.0023133208035826663
1.7,0.07671099999999997,0.07963799999999988,0.07823115999999995,5.778772233333242e-07,0,-0.018207346930191822,0.10873378556655038
1.75,0.07678699999999994,0.08123499999999995,0.0781799230769231,1.2599555138461005e-06,0,0.03652692797466689,0.015129949770743473
1.8,0.07876000000000016,0.08144599999999991,0.08002923999999999,4.429011066666132e-07,0,0.0007129569761868949,0.07876350087262106
1.85,0.07881899999999997,0.08159500000000008,0.08007572,4.650681266666817e-07,0,0.0033498882012658296,0.073960892097473
1.9,0.07813500000000007,0.08369000000000004,0.08029971999999999,1.2681103766666968e-06,0,-0.016242790660469793,0.1107552708470778
1.95,0.07853299999999996,0.08292300000000008,0.08123119230769232,1.429218001538465e-06,0,0.0464360855705883,-0.008167372102458673
2.0,0.08031100000000002,0.08318400000000015,0.08200008000000002,6.640511600000444e-07,0,-0.01901223589836694,0.1195586714053437
2.05,0.08066800000000018,0.0857300000000003,0.08287764000000003,1.614271740000022e-06,0,0.048767005110662856,-0.015849772962231376
2.1,0.08006199999999986,0.08410600000000024,0.08214665384615386,1.6101754353845491e-06,0,0.044056212105290316,-0.00932587327184882
2.15,0.08240500000000006,0.08538899999999972,0.08405616,5.761115566666295e-07,0,-0.005003768481549531,0.09469073320207379
2.2,0.08221899999999982,0.08676299999999992,0.08393619230769224,1.0362046415385373e-06,0,0.009725098972759728,0.06277082653375748
2.25,0.08217399999999975,0.08729100000000001,0.08500475,1.7156701956522e-06,0,-0.06634826264182954,0.23265190251371992
2.3,0.08238099999999982,0.08763999999999994,0.08513411999999994,2.128958526666624e-06,0,0.059570972204190484,-0.050348342242457086
2.35,0.08464699999999992,0.08750900000000028,0.08598061538461542,5.903792861538477e-07,0,-7.720422637469548e-05,0.0861600643808617
2.4,0.08480299999999996,0.08913400000000005,0.08715157692307698,1.8033679338462372e-06,0,0.07196684303821264,-0.08378949108611308
2.45,0.0846429999999998,0.08870600000000017,0.0863708,9.021405000000773e-07,0,-0.010417494632317554,0.11165485161892655
2.5,0.08662500000000017,0.08926200000000017,0.08784933333333338,4.804756231884108e-07,0,0.008627221064759383,0.06650069354956704
2.55,0.08672600000000008,0.09097299999999997,0.08817688888888896,8.419534871794783e-07,0,0.013927578083484955,0.05300578177331829
2.6,0.08686800000000039,0.09104399999999968,0.08932695833333326,1.45251395470997e-06,0,-0.06330706439149333,0.25234999539869235
2.65,0.08698499999999987,0.09071700000000016,0.08875484615384617,1.1892892553846437e-06,0,0.057688350502078704,-0.06271149832788118
2.7,0.08862900000000007,0.09123300000000034,0.09007276000000004,6.01833190000081e-07,0,-0.01933500661672401,0.14180304119726408
2.75,0.0891930000000003,0.09355500000000028,0.09089196153846156,1.2870924384614672e-06,0,0.051226631945538004,-0.0487289329298302
2.8,0.08862999999999976,0.09336400000000022,0.09031916666666667,8.33075623188555e-07,0,-0.021255573357975455,0.1493266930138311
2.85,0.08992200000000006,0.09316499999999994,0.09168668000000006,7.47474143333351e-07,0,0.028701705836542777,0.010642342553134329
2.9,0.09042700000000004,0.09337499999999999,0.09186946153846155,6.354401784615068e-07,0,-0.00839179433097067,0.1159918489567111
2.95,0.09118799999999982,0.09565299999999999,0.09318271999999998,1.4918893766666042e-06,0,0.014653563367947663,0.050331166899614976
3.0,0.09063199999999982,0.09444199999999991,0.0925266923076923,1.3468807815384496e-06,0,0.05978994459153853,-0.08538984108141627
3.05,0.09263599999999972,0.0954489999999999,0.09388812000000002,4.0973252666662415e-07,0,-0.004841421362251123,0.10853585601769601
3.1,0.0925959999999999,0.09526000000000012,0.09404359999999996,3.2241925000006795e-07,0,0.006665471924233132,0.07354522859957785
3.15,0.09325299999999981,0.09702400000000022,0.09465720833333331,1.0282526938406014e-06,0,-0.049560418184529734,0.2494701955307057
3.2,0.09293499999999977,0.09760500000000016,0.09537437037037037,1.2002533190883334e-06,0,0.03625562348158326,-0.019699349742719974
3.25,0.09489599999999987,0.09711399999999992,0.09607208000000007,4.795589933332915e-07,0,0.0007454798042193562,0.09366756825916658
3.3,0.09445199999999998,0.097213,0.09611012000000002,4.302896933333346e-07,0,-0.0026847976013855347,0.10490366249873981
3.35,0.09514999999999985,0.09854999999999992,0.09629453846153836,1.054244418461596e-06,0,0.03718670660664705,-0.027393879831850196
3.4,0.09592299999999998,0.09907399999999988,0.09774895999999997,9.138412899999097e-07,0,-0.03522516331540985,0.21666085457454248
3.45,0.09708700000000015,0.09891800000000028,0.09789295999999999,4.519349566666706e-07,0,-0.0007745016678086849,0.10054601936656704
3.5,0.09636500000000003,0.09930100000000008,0.09783107999999997,6.224228266666966e-07,0,0.002947952470820892,0.08758538392826883
3.55,0.09729600000000005,0.10122700000000018,0.09936442307692309,1.461899373846207e-06,0,0.03823601810573487,-0.03542284819922861
3.6,0.09628000000000014,0.10079499999999975,0.09882156000000003,1.6567020066666507e-06,0,-0.004832685839909419,0.11610551244632707
3.65,0.09862700000000002,0.1010399999999998,0.09975427999999996,5.698932933332587e-07,0,0.002517920014724515,0.09062539289027605
3.7,0.0982289999999999,0.10327999999999982,0.100396,1.4619467999999914e-06,0,0.013326933111634843,0.05140526919750211
3.75,0.09893099999999988,0.10361200000000004,0.10160187500000002,1.2196638532609046e-06,0,-0.04391410972764709,0.2651678848798817
3.8,0.09821999999999997,0.10324499999999981,0.10050080000000007,2.1621167500000042e-06,0,0.07169744779230958,-0.1701479426327115
3.85,0.1005480000000003,0.10376499999999966,0.10205053846153847,7.316448184614343e-07,0,0.007100518874743943,0.0748954495330201
